an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2023,2023,07065,Saint-Alexandre-des-Lacs,P,281,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,21230248.000000,,201656.000000,,0.551100,,0.376200,,0.063100,,0.009500,,,102137.000000,88453.000000,66345.000000,,38.000000,320.000000,,21230248.000000,,11700416.000000,,7987720.000000,,1340456.000000
2023,2023,07070,Saint-Tharcisius,P,426,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,29263514.940000,,1161765.000000,,0.518200,,0.135700,,0.305100,,0.041100,,,93587.000000,90081.000000,98200.000000,,56.000000,298.000000,,28260144.000000,,14643288.000000,,3833874.000000,,8621217.000000
2023,2023,07075,Saint-Vianney,M,445,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,34410709.440000,,290628.000000,,0.477200,,0.450100,,0.064100,,0.008600,,,97379.000000,81969.000000,73527.000000,,42.000000,468.000000,,33785208.000000,,16122240.000000,,15207156.000000,,2165184.000000
2023,2023,07080,Val-Brillant,M,941,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,115107523.300000,,3030029.000000,,0.695400,,0.077500,,0.200400,,0.026700,,,186257.000000,155297.000000,153477.000000,,88.000000,750.000000,,113503267.000000,,78928988.000000,,8798688.000000,,22745562.000000
2023,2023,07085,Sayabec,M,1777,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,174508716.200000,,2235653.000000,,0.532000,,0.392600,,0.062100,,0.013300,,,132658.000000,107236.000000,161433.000000,,93.000000,1081.000000,,168414274.000000,,89593315.000000,,66125682.000000,,10459624.000000
2023,2023,07090,Saint-Cléophas,P,333,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,26941510.000000,,113045.000000,,0.342500,,0.545900,,0.107400,,0.004200,,,84897.000000,88943.000000,82390.000000,,47.000000,327.000000,,26941510.000000,,9226220.000000,,14708385.000000,,2893860.000000
2023,2023,07095,Saint-Moïse,P,574,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,48145404.000000,,769080.000000,,0.460400,,0.406700,,0.116600,,0.016200,,,96502.000000,93173.000000,83009.000000,,48.000000,580.000000,,47401920.000000,,21825480.000000,,19278120.000000,,5529240.000000
2023,2023,07100,Saint-Noël,VL,398,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,23430706.880000,,214704.000000,,0.557700,,0.233800,,0.199000,,0.009400,,,75502.000000,71039.000000,75340.000000,,43.000000,311.000000,,22855392.000000,,12747280.000000,,5344528.000000,,4548880.000000
2023,2023,07105,Saint-Damase,P,358,1 @ 1 999,AR070,La Matapédia,01,Bas-Saint-Laurent,,,41081410.260000,,1684584.000000,,0.424100,,0.253100,,0.281000,,0.041800,,,99913.000000,95710.000000,99955.000000,,57.000000,411.000000,,40321809.000000,,17100765.000000,,10204623.000000,,11331837.000000
2023,2023,08005,Les Méchins,M,973,1 @ 1 999,AR080,La Matanie,01,Bas-Saint-Laurent,,,97572238.000000,,1475600.000000,,0.662900,,0.314900,,0.006800,,0.015400,,,110808.000000,87046.000000,92223.000000,,53.000000,1058.000000,,95718100.000000,,63451700.000000,,30142600.000000,,648200.000000
2023,2023,08010,Saint-Jean-de-Cherbourg,P,179,1 @ 1 999,AR080,La Matanie,01,Bas-Saint-Laurent,,,11310603.000000,,260619.000000,,0.616900,,0.350500,,0.009500,,0.023000,,,64631.000000,67660.000000,53352.000000,,31.000000,212.000000,,11310603.000000,,6977744.000000,,3964439.000000,,107801.000000
2023,2023,08015,Grosses-Roches,M,403,1 @ 1 999,AR080,La Matanie,01,Bas-Saint-Laurent,,,35571566.880000,,3889728.000000,,0.770400,,0.107700,,0.011000,,0.111000,,,101227.000000,98324.000000,75523.000000,,43.000000,471.000000,,35057124.000000,,27006588.000000,,3774384.000000,,386424.000000
